lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
ISG15,2.22980237,0.0,0.0,0.940087623,0.727469906,ISG15
MX1,1.611416936,0.0,0.0,0.886801752,0.650200629,MX1
EIF2AK2,1.808590055,0.0,0.0,0.710131435,0.393341286,EIF2AK2
SAMD9L,1.444698095,0.0,0.0,0.836254107,0.594675198,SAMD9L
TNFSF10,1.527240753,0.0,0.0,0.78483023,0.513013773,TNFSF10
DDX58,1.941988945,0.0,0.0,0.577820372,0.251979178,DDX58
IRF7,1.35829401,0.0,0.0,0.797590361,0.550211474,IRF7
DTX3L,1.411730647,0.0,0.0,0.740909091,0.47218306,DTX3L
TRANK1,1.963639021,0.0,0.0,0.531982475,0.230669125,TRANK1
NT5C3A,1.324148297,0.0,0.0,0.689649507,0.441871814,NT5C3A
HERC5,1.651212096,0.0,0.0,0.531161008,0.260980371,HERC5
IFIH1,1.650472522,0.0,0.0,0.531489595,0.269656219,IFIH1
STAT1,1.092862129,0.0,0.0,0.740525739,0.535787876,STAT1
GBP1_LOC107512699,1.161271214,0.0,0.0,0.685323111,0.525593753,GBP1
SOCS1,1.764455914,0.0,0.0,0.44381161,0.188591259,SOCS1
MLKL,1.475318789,0.0,0.0,0.509255203,0.269168203,MLKL
PSMB8,0.62590003,0.0,0.0,0.907447974,0.840364386,PSMB8
RNF213,0.909987211,0.0,0.0,0.712486309,0.543433467,RNF213
USP18,1.561757326,0.0,0.0,0.404052574,0.18338575,USP18
TRAFD1,1.401679993,1.8358e-305,1.3394e-302,0.434556407,0.226493873,TRAFD1
IFI35,1.047304153,2.1736e-269,1.4232e-266,0.518510405,0.341828435,IFI35
TOR3A,1.224291325,1.4619999999999998e-255,8.888899999999999e-253,0.433077766,0.235983082,TOR3A
PSME2,0.753304303,2.2877e-255,1.3586e-252,0.722289157,0.583342371,PSME2
PSMB9,0.663410544,4.4317e-238,2.572e-235,0.770043812,0.658280013,PSMB9
STAT2,1.44702518,5.0623e-215,2.4860000000000003e-212,0.344687842,0.164298883,STAT2
TMEM140,1.555018663,1.2367000000000001e-198,5.7418e-196,0.307064622,0.129595489,TMEM140
TAPBP_LOC107511979,0.787661135,1.7326e-196,7.9007e-194,0.583187295,0.433629758,TAPBP
PARP9,0.861146688,2.8782000000000003e-196,1.2894000000000002e-193,0.533789704,0.372681922,PARP9
LGALS9,0.944101274,3.1484e-168,1.2181e-165,0.433406353,0.280826375,LGALS9
SHISA5,0.570332646,2.842e-163,1.0518e-160,0.783351588,0.665546036,SHISA5
XAF1,0.997481823,3.6780999999999997e-163,1.3418e-160,0.400054765,0.241134367,XAF1
UBALD2,0.851067662,1.1034000000000001e-159,3.9685999999999996e-157,0.481380066,0.336297582,UBALD2
MORC3,0.785006523,4.2587000000000005e-158,1.5104e-155,0.521522453,0.380707082,MORC3
NMI,0.917847037,5.2605000000000005e-154,1.8152999999999998e-151,0.42524644,0.277844052,NMI
CMTR1,1.103031397,3.2528999999999997e-136,1.0788e-133,0.328477547,0.18311463,CMTR1
JUNB,0.744704068,1.3921e-135,4.5575e-133,0.501040526,0.373115714,JUNB
DHX58,1.822636962,2.053e-133,6.6362e-131,0.225027382,0.079492463,DHX58
STARD4,1.179197669,7.5154e-129,2.3693e-126,0.303285871,0.163214402,STARD4
B2M,0.151932016,1.5282e-125,4.7017000000000005e-123,0.997042716,0.996529661,B2M
USP25,0.950966835,2.9315e-115,8.7046e-113,0.3432092,0.211528034,USP25
MOV10,0.945150614,8.261199999999999e-113,2.4248e-110,0.34101862,0.211094241,MOV10
USP15,0.756722033,4.8273e-112,1.4007999999999999e-109,0.437020811,0.314716408,USP15
CFLAR,0.883155107,3.738e-111,1.0725e-108,0.370920044,0.24959332,CFLAR
OAS3,1.340360999,5.5085e-109,1.563e-106,0.252190581,0.123034378,OAS3
TMBIM4,0.413110375,5.7501e-98,1.52953e-95,0.752519168,0.681542132,TMBIM4
TRIM25,0.874698877,6.10815e-98,1.6080199999999998e-95,0.333625411,0.2134801,TRIM25
CMPK2,0.742408812,8.75082e-97,2.28021e-94,0.385980285,0.26244442,CMPK2
DNAJA1,0.525633335,1.87718e-95,4.84197e-93,0.590306681,0.494306474,DNAJA1
CD81,0.422620684,3.58528e-94,9.155369999999999e-92,0.756133625,0.676716191,CD81
PELI1,1.462816596,9.1222e-93,2.30638e-90,0.224370208,0.106929834,PELI1
NAMPT,0.927411497,5.9095599999999995e-92,1.47948e-89,0.321522453,0.210606225,NAMPT
HIGD1A,0.666677535,2.19559e-89,5.44337e-87,0.426779847,0.319976141,HIGD1A
NFKBIA,0.555132031,5.01065e-86,1.20709e-83,0.632311062,0.555308535,NFKBIA
IFI27_LOC107511262,0.660703242,9.02376e-85,2.1336200000000002e-82,0.492059146,0.39887214,IFI27
PSMF1,0.918174207,1.39566e-82,3.23996e-80,0.297097481,0.18739833,PSMF1
TAP1,0.617573261,1.07172e-75,2.3391000000000002e-73,0.401807229,0.292484546,TAP1
GPR65,0.885461986,2.33563e-75,5.012e-73,0.295728368,0.192170047,GPR65
HIF1A,0.58986485,1.27622e-71,2.67128e-69,0.449233297,0.364819434,HIF1A
RBM43,0.762097239,2.6078500000000003e-70,5.41415e-68,0.313307777,0.2091964,RBM43
TBK1,0.831064522,3.22399e-68,6.533959999999999e-66,0.289485214,0.188970827,TBK1
PARP12,0.756449819,7.95604e-68,1.5997299999999998e-65,0.301588171,0.198514261,PARP12
RICTOR,0.547203839,9.897530000000001e-67,1.94418e-64,0.436966046,0.337165166,RICTOR
SNX6,0.59069705,1.2489500000000002e-61,2.3624599999999998e-59,0.380722892,0.288417742,SNX6
MCL1,0.36310342,7.30599e-60,1.36179e-57,0.701040526,0.623522395,MCL1
PTPN2,0.526330173,4.00053e-59,7.34947e-57,0.419222344,0.328760438,PTPN2
IRF2,0.434182614,4.34377e-58,7.81144e-56,0.540087623,0.454777139,IRF2
RIPK2,0.981936097,4.54444e-57,8.003230000000001e-55,0.229134721,0.138108665,RIPK2
TMEM50A,0.521645725,5.46227e-57,9.553730000000001e-55,0.423220153,0.337327839,TMEM50A
PXK,0.987327814,8.719919999999999e-57,1.51478e-54,0.221467689,0.128348335,PXK
SNX10,0.877019823,9.648489999999999e-57,1.6647600000000001e-54,0.317141292,0.24585186,SNX10
IRF9,0.509927452,2.7529100000000002e-55,4.65552e-53,0.411664841,0.318132524,IRF9
SAT1,0.487582684,2.34341e-54,3.88579e-52,0.491128149,0.420995554,SAT1
PLGRKT,0.621188402,3.12295e-54,5.1450099999999995e-52,0.329956188,0.242598417,PLGRKT
RGS1,0.923557997,6.53961e-54,1.07048e-51,0.25788609,0.172649387,RGS1
MYCBP2,0.367502779,7.10776e-54,1.1560799999999999e-51,0.662760131,0.587409175,MYCBP2
RSAD2,1.336757898,1.9791999999999998e-52,3.1588099999999997e-50,0.159145674,0.066858258,RSAD2
CHD1,0.51487726,5.5617899999999994e-52,8.82149e-50,0.400219058,0.314553736,CHD1
SAMHD1,0.404296041,7.44866e-52,1.17413e-49,0.589759036,0.517080577,SAMHD1
TNFAIP3,0.590574265,3.1351699999999994e-51,4.8521e-49,0.378477547,0.303654701,TNFAIP3
RNF114,0.757373691,3.5511699999999996e-51,5.46281e-49,0.257009858,0.167769222,RNF114
SYNE2,0.404115558,5.43491e-51,8.26106e-49,0.585487404,0.506506886,SYNE2
NUB1,0.448500216,2.4098e-49,3.64123e-47,0.458926616,0.372681922,NUB1
PSMA6,0.406420022,1.0729900000000001e-48,1.61176e-46,0.540470975,0.479286411,PSMA6
STX11,0.812315404,1.81228e-48,2.6905999999999997e-46,0.248576123,0.165112244,STX11
RAB19,1.038285613,5.09789e-47,7.272609999999999e-45,0.191949617,0.107092506,RAB19
PSMA3,0.452566832,1.26549e-46,1.78539e-44,0.425191676,0.350775404,PSMA3
STAT3,0.585499704,6.76721e-46,9.340950000000001e-44,0.313143483,0.229476196,STAT3
GTF2B,0.401292533,5.27245e-45,7.19986e-43,0.501642935,0.429834074,GTF2B
IL15,1.175938606,1.9898900000000001e-44,2.70287e-42,0.163691128,0.079709359,IL15
GPBP1,0.44098568,2.8369200000000003e-44,3.81282e-42,0.429956188,0.350612732,GPBP1
TRIM56,0.662778795,4.42878e-42,5.82955e-40,0.26128149,0.180837219,TRIM56
GLIPR1,0.652547538,5.91513e-42,7.746090000000001e-40,0.266374589,0.185608936,GLIPR1
YAF2,0.544070363,6.56892e-42,8.55837e-40,0.318455641,0.238260492,YAF2
TMBIM6,0.320423573,1.06675e-41,1.3827699999999999e-39,0.672289157,0.601670101,TMBIM6
